account_age,is_blue_verified,is_verified,profile_description_sentiment,following_count,followers_count,is_default_profile_image,tweet_freq,is_bot,identical_tweet_freq,,,,,,,,,,,,,,,,,,,,,is_spam_account
1778,1,0,0,459,18538,0,4.226,0,0,,,,,,,,,,,,,,,,,,,,,0
5690,0,0,0,615,456,0,0.907,1,0,,,,,,,,,,,,,,,,,,,,,1
4119,0,0,,274,282752,0,0.339,0,0,,,,,,,,,,,,,,,,,,,,,0
4183,0,0,0.933,409,191,0,0.331,1,0,,,,,,,,,,,,,,,,,,,,,1
6001,1,0,0,2616,11106,0,11.285,0,0,,,,,,,,,,,,,,,,,,,,,0
3868,1,0,0,2841,353869,0,9.681,0,0.001,,,,,,,,,,,,,,,,,,,,,0
1087,0,0,0,2534,2383,0,0.453,0,0,,,,,,,,,,,,,,,,,,,,,0
5693,0,0,0.957,1870,1302,0,0.356,1,0,,,,,,,,,,,,,,,,,,,,,0
1577,0,0,0,61,1,0,0.02,1,0,,,,,,,,,,,,,,,,,,,,,1
4211,0,0,,535,61,0,0.011,1,0,,,,,,,,,,,,,,,,,,,,,1
1846,1,0,0,32165,37673,0,18.553,0,0,,,,,,,,,,,,,,,,,,,,,0
1427,0,0,0,395,597,0,2.108,0,0,,,,,,,,,,,,,,,,,,,,,0
3628,0,0,0.876,259,4829,0,0.866,0,0,,,,,,,,,,,,,,,,,,,,,0
4925,0,0,,8,12,0,0.006,1,0,,,,,,,,,,,,,,,,,,,,,0
2366,0,0,0.84,394,209,0,0.071,0,0,,,,,,,,,,,,,,,,,,,,,1
3814,1,0,0,1664,289269,0,7.181,1,0,,,,,,,,,,,,,,,,,,,,,0
1205,0,0,0,73,135,0,0.067,1,0.002,,,,,,,,,,,,,,,,,,,,,0
5682,0,0,-0.532,961,695,0,0.278,1,0,,,,,,,,,,,,,,,,,,,,,0
5479,0,0,0.545,1646,4187,0,2.001,1,0.001,,,,,,,,,,,,,,,,,,,,,0
2856,0,0,0.752,44,239,0,0.005,0,0,,,,,,,,,,,,,,,,,,,,,1
5389,0,0,,283,227,0,0.212,0,0,,,,,,,,,,,,,,,,,,,,,0
1670,0,0,,53,21,0,0.019,1,0,,,,,,,,,,,,,,,,,,,,,1
2651,0,0,0,288,201,0,0.033,0,0,,,,,,,,,,,,,,,,,,,,,0
1057,0,0,0,215,9,0,0.004,1,0,,,,,,,,,,,,,,,,,,,,,1
5662,0,0,0.687,1730,62391,0,2.813,0,0,,,,,,,,,,,,,,,,,,,,,0
1349,0,0,0,39,14681,0,0.732,1,0.001,,,,,,,,,,,,,,,,,,,,,0
4521,0,0,0,44,22,0,0.001,1,0,,,,,,,,,,,,,,,,,,,,,1
2182,0,0,,97,66,0,1.785,1,0,,,,,,,,,,,,,,,,,,,,,1
5166,0,0,0.863,161,394,0,0.09,0,0,,,,,,,,,,,,,,,,,,,,,0
5613,1,0,0,231152,240705,0,35.134,0,0,,,,,,,,,,,,,,,,,,,,,0
2980,0,0,0.573,309,23797,0,2.088,0,0,,,,,,,,,,,,,,,,,,,,,0
4405,0,0,0,231,10905,0,1.271,0,0,,,,,,,,,,,,,,,,,,,,,0
2633,0,0,0,217,39,0,0.025,1,0,,,,,,,,,,,,,,,,,,,,,1
5215,0,0,0.851,195,212,0,0.036,0,0,,,,,,,,,,,,,,,,,,,,,0
2617,0,0,0,2618,642721,0,5.717,0,0,,,,,,,,,,,,,,,,,,,,,0
4663,0,0,,282,174,0,0.241,1,0,,,,,,,,,,,,,,,,,,,,,1
5639,0,0,0,592,231,0,0.826,1,0,,,,,,,,,,,,,,,,,,,,,1
3081,0,0,0,168,79,0,0.006,1,0,,,,,,,,,,,,,,,,,,,,,1
1077,0,0,,99,7,0,0.009,1,0,,,,,,,,,,,,,,,,,,,,,1
4718,0,0,0,1316,3377,0,0.506,0,0,,,,,,,,,,,,,,,,,,,,,0
1138,0,0,0,115,136,0,0.005,0,0,,,,,,,,,,,,,,,,,,,,,1
4158,0,0,0,1932,3844,0,11.074,0,0,,,,,,,,,,,,,,,,,,,,,0
4565,0,0,0.85,11464,10601,0,0.08,1,0,,,,,,,,,,,,,,,,,,,,,0
1627,0,0,0,7383,10255,0,15.753,1,0.001,,,,,,,,,,,,,,,,,,,,,0
5571,0,0,0.857,1287,30344,0,49.832,0,0,,,,,,,,,,,,,,,,,,,,,0
1230,0,0,,640,112,0,0.023,1,0,,,,,,,,,,,,,,,,,,,,,1
1573,0,0,0,111,5,0,0.001,1,0,,,,,,,,,,,,,,,,,,,,,1
5277,0,0,0,1552,2606,0,1.744,0,0,,,,,,,,,,,,,,,,,,,,,0
1048,0,0,0.827,144,94,0,0.001,1,0,,,,,,,,,,,,,,,,,,,,,1
5999,1,0,0.722,10,429886,0,6.013,1,0.001,,,,,,,,,,,,,,,,,,,,,0
1438,0,0,,167,572,0,0.715,0,0,,,,,,,,,,,,,,,,,,,,,0
1676,0,0,,190,12,0,0.004,1,0,,,,,,,,,,,,,,,,,,,,,1
4275,0,0,,205,288,0,0.366,1,0.001,,,,,,,,,,,,,,,,,,,,,0
1715,1,0,0.821,59957,462405,0,261.946,0,0,,,,,,,,,,,,,,,,,,,,,0
1162,0,0,0,665,145,0,0.025,1,0,,,,,,,,,,,,,,,,,,,,,1
2783,0,0,0,1566,1243,0,0.155,0,0,,,,,,,,,,,,,,,,,,,,,0
1128,0,0,0,80,14,0,0.054,1,0,,,,,,,,,,,,,,,,,,,,,1
5489,0,0,,16,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1
1188,0,0,0,493,129,0,0.143,1,0.004,,,,,,,,,,,,,,,,,,,,,1
1052,0,0,0,17,1,0,0.022,1,0,,,,,,,,,,,,,,,,,,,,,1
2284,0,0,0,4873,2366,0,46.477,0,0,,,,,,,,,,,,,,,,,,,,,1
3253,0,0,0,205,1291,0,0.365,0,0,,,,,,,,,,,,,,,,,,,,,0
4473,0,0,0,294,53,0,0.015,1,0,,,,,,,,,,,,,,,,,,,,,1
1201,0,0,0,23,7,0,0.001,1,0,,,,,,,,,,,,,,,,,,,,,1
2290,0,0,0,1415,370,0,0.511,1,0,,,,,,,,,,,,,,,,,,,,,1
3607,0,0,0,152,768,0,0.65,1,0.001,,,,,,,,,,,,,,,,,,,,,0
1115,0,0,,170,18,0,0.225,1,0,,,,,,,,,,,,,,,,,,,,,1
3059,0,0,0,416,8743,0,0.7,0,0,,,,,,,,,,,,,,,,,,,,,0
1272,0,0,0,2950,2398,0,7.141,1,0.044,,,,,,,,,,,,,,,,,,,,,0
4874,1,0,0,2742,87456,0,3.763,0,0,,,,,,,,,,,,,,,,,,,,,0
2052,0,0,0,19,3,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1
6637,0,0,0,4578,3636,0,4.022,0,0,,,,,,,,,,,,,,,,,,,,,0
2264,0,0,0.753,414,1017,0,0.528,1,0.001,,,,,,,,,,,,,,,,,,,,,0
2218,0,0,0,337,2135,0,0.045,1,0.002,,,,,,,,,,,,,,,,,,,,,0
1804,0,0,0,366,37,0,0.006,1,0,,,,,,,,,,,,,,,,,,,,,1
4695,0,0,0,2047,3732,0,1.677,0,0,,,,,,,,,,,,,,,,,,,,,0
1320,0,0,0.694,2475,1039,0,0.798,1,0.001,,,,,,,,,,,,,,,,,,,,,1
5434,0,0,0,130,28,1,0.01,1,0,,,,,,,,,,,,,,,,,,,,,1
4453,0,0,0,658,222,0,0.155,1,0.001,,,,,,,,,,,,,,,,,,,,,1
2346,0,0,0,127,1444,0,0.63,0,0,,,,,,,,,,,,,,,,,,,,,0
5517,1,0,0.711,475,1379859,0,0.698,0,0,,,,,,,,,,,,,,,,,,,,,0
4877,0,0,-0.629,461,496,0,2.895,0,0,,,,,,,,,,,,,,,,,,,,,0
1204,0,0,,8,2,1,0.006,1,0.267,,,,,,,,,,,,,,,,,,,,,1
1984,0,0,0,1182,531,0,0.977,1,0,,,,,,,,,,,,,,,,,,,,,1
5307,0,0,0,513,427,0,3.032,0,0,,,,,,,,,,,,,,,,,,,,,0
5299,0,0,0,448,2000,0,1.011,0,0,,,,,,,,,,,,,,,,,,,,,0
4662,0,0,0,2032,4680,0,1.609,0,0,,,,,,,,,,,,,,,,,,,,,0
5299,1,0,-0.843,919,5715,0,3.411,0,0,,,,,,,,,,,,,,,,,,,,,0
1308,0,0,0.547,954,466,0,0.794,1,0.003,,,,,,,,,,,,,,,,,,,,,1
3782,0,0,0,520,746,0,0.355,0,0,,,,,,,,,,,,,,,,,,,,,0
4282,0,0,0,7316,6622,0,27.259,0,0,,,,,,,,,,,,,,,,,,,,,1
5341,0,0,0.671,4298,4903,0,3.672,0,0,,,,,,,,,,,,,,,,,,,,,0
5642,0,0,0.681,1843,2575,0,0.866,0,0,,,,,,,,,,,,,,,,,,,,,0
4489,0,0,0,508,1296,0,0.037,0,0,,,,,,,,,,,,,,,,,,,,,0
1251,0,0,0,50,12,0,0.018,1,0,,,,,,,,,,,,,,,,,,,,,1
4457,0,0,0,981,1704,0,0.241,0,0,,,,,,,,,,,,,,,,,,,,,0
2868,0,0,0.69,307,459,0,0.231,0,0,,,,,,,,,,,,,,,,,,,,,0
1796,0,0,0,208,92,0,0.156,1,0,,,,,,,,,,,,,,,,,,,,,1
4009,0,0,0.579,333,3701,0,0.709,0,0,,,,,,,,,,,,,,,,,,,,,0
4090,0,0,,675,31,0,0.066,1,0,,,,,,,,,,,,,,,,,,,,,1
